id,bank_name,city,state,cert,acquiring_institution,closing_date,fund
155,Global Commerce Bank,Doraville,GA,34046,Metro City Bank,2012-03-02,10428
156,Home Savings of America,Little Falls,MN,29178,No Acquirer,2012-02-24,10427
157,Central Bank of Georgia,Ellaville,GA,5687,Ameris Bank,2012-02-24,10426
158,SCB Bank,Shelbyville,IN,29761,"First Merchants Bank, National Association",2012-02-10,10425
159,Charter National Bank and Trust,Hoffman Estates,IL,23187,"Barrington Bank & Trust Company, National Association",2012-02-10,10424
160,BankEast,Knoxville,TN,19869,"U.S. Bank, N.A.",2012-01-27,10420
161,Patriot Bank Minnesota,Forest Lake,MN,34823,First Resource Bank,2012-01-27,10422
162,Tennessee Commerce Bank,Franklin,TN,35296,Republic Bank & Trust Company,2012-01-27,10423
163,First Guaranty Bank and Trust Company of Jacksonville,Jacksonville,FL,16579,"CenterState Bank of Florida, N.A.",2012-01-27,10421
164,American Eagle Savings Bank,Boothwyn,PA,31581,"Capital Bank, N.A.",2012-01-20,10417
165,The First State Bank,Stockbridge,GA,19252,Hamilton State Bank,2012-01-20,10419
166,Central Florida State Bank,Belleview,FL,57186,"CenterState Bank of Florida, N.A.",2012-01-20,10418
167,Western National Bank,Phoenix,AZ,57917,Washington Federal,2011-12-16,10416
168,Premier Community Bank of the Emerald Coast,Crestview,FL,58343,Summit Bank,2011-12-16,10415
169,Central Progressive Bank,Lacombe,LA,19657,First NBC Bank,2011-11-18,10413
170,Polk County Bank,Johnston,IA,14194,Grinnell State Bank,2011-11-18,10414
171,Community Bank of Rockmart,Rockmart,GA,57860,Century Bank of Georgia,2011-11-10,10412
172,SunFirst Bank,Saint George,UT,57087,Cache Valley Bank,2011-11-04,10411
173,"Mid City Bank, Inc.",Omaha,NE,19397,Premier Bank,2011-11-04,10410
174,All American Bank,Des Plaines,IL,57759,International Bank of Chicago,2011-10-28,10409
175,Community Banks of Colorado,Greenwood Village,CO,21132,"Bank Midwest, N.A.",2011-10-21,10405
391,Waterfield Bank,Germantown,MD,34976,No Acquirer,2010-03-05,10190
176,Community Capital Bank,Jonesboro,GA,57036,State Bank and Trust Company,2011-10-21,10406
177,Decatur First Bank,Decatur,GA,34392,Fidelity Bank,2011-10-21,10407
178,Old Harbor Bank,Clearwater,FL,57537,1st United Bank,2011-10-21,10408
179,Country Bank,Aledo,IL,35395,Blackhawk Bank & Trust,2011-10-14,10402
180,First State Bank,Cranford,NJ,58046,Northfield Bank,2011-10-14,10403
181,"Blue Ridge Savings Bank, Inc.",Asheville,NC,32347,Bank of North Carolina,2011-10-14,10401
182,Piedmont Community Bank,Gray,GA,57256,State Bank and Trust Company,2011-10-14,10404
183,Sun Security Bank,Ellington,MO,20115,Great Southern Bank,2011-10-07,10400
184,The RiverBank,Wyoming,MN,10216,Central Bank,2011-10-07,10399
185,First International Bank,Plano,TX,33513,American First National Bank,2011-09-30,10398
186,Citizens Bank of Northern California,Nevada City,CA,33983,Tri Counties Bank,2011-09-23,10397
187,Bank of the Commonwealth,Norfolk,VA,20408,Southern Bank and Trust Company,2011-09-23,10396
188,The First National Bank of Florida,Milton,FL,25155,CharterBank,2011-09-09,10395
189,CreekSide Bank,Woodstock,GA,58226,Georgia Commerce Bank,2011-09-02,10393
190,Patriot Bank of Georgia,Cumming,GA,58273,Georgia Commerce Bank,2011-09-02,10394
191,First Choice Bank,Geneva,IL,57212,Inland Bank & Trust,2011-08-19,10390
192,First Southern National Bank,Statesboro,GA,57239,Heritage Bank of the South,2011-08-19,10391
